"Table 6. Number of deaths from selected causes, by age: United States, 2019",
"Nephritis, nephrotic syndrome and nephrosis",16572
"Pregnancy, childbirth and the puerperium",1
"Certain conditions originating in the perinatal period",1
"Congenital malformations, deformations and chromosomal abnormalities",336
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",11600
"Accidents (unintentional injuries)",24926
"  Motor vehicle accidents",1412
"  Falls",18259
"  Accidental discharge of firearms",7
"  Accidental drowning and submersion",105
"  Accidental hanging, strangulation, and suffocation",1589
"  Accidental exposure to smoke, fire and flames",213
"  Accidental poisoning and exposure to noxious substances",195
"Intentional self–harm (suicide)",1329
"  Intentional self–harm (suicide) by poisoning",128
"  Intentional self–harm (suicide) by hanging, strangulation and suffocation",100
"  Intentional self–harm (suicide) by discharge of firearms",1018
"Assault (homicide)",104
"  Assault (homicide) by discharge of firearms",36
"Legal intervention",1
"Complications of medical and surgical care",871
"Dementia-related causes",177602
"Drug-induced deaths",301
"  Drug overdose deaths",240
"Alcohol-induced deaths",421
"Injury by firearms",1062
