"Table 11. Therapeutic categories for drugs provided, prescribed, or continued at ambulatory care visits, with percent distribution by setting type: United States, 2007",,,,,,
,,,,,,
"Percent distribution",,,,,,
,,,,,,
"Therapeutic drug category",Total,"Primary care",Surgical,Medical,"Hospital outpatient",Emergency
"SSRI antidepressants",2.6,1,2.3,1.4,0.1,
"Tricyclic antidepressants",4.2,2.2,4.4,1.7,0.3,
"Phenylpiperazine antidepressants",4.9,2.1,5.2,2.1,0.2,
"Tetracyclic antidepressants",-,-,7.5,2.6,-,
"SSNRI antidepressants",3.8,1.8,3.9,1.2,0.1,
Antipsychotics,2.7,1,3.7,2.4,0.7,
"Miscellaneous antipsychotic agents",-,-,6.2,2.6,1.9,
"Phenothiazine antipsychotics",-,-,5.3,6.2,4.3,
"Atypical antipsychotics",3.1,-,4,2.5,0.4,
"Immunologic agents",2.8,0.2,2.7,1.2,0.3,
"Bacterial vaccines",1.5,-,-,1.4,-,
"Immune globulins",-,-,-,4.6,3.7,
Toxoids,2.1,-,-,1.1,1.3,
"Viral vaccines",1.4,-,0.6,1.2,0.1,
"Miscellaneous biologicals",14.1,-,16.4,1.7,-,
"Immunosuppressive agents",-,-,8.8,5.2,-,
Interferons,-,-,7.4,-,-,
"Immunosuppressive monoclonal antibodies",-,-,-,4.4,-,
"Radiologic agents",-,-,-,2.9,7.7,
"Radiocontrast agents",-,-,-,5.8,10.8,
"Non-ionic iodinated contrast media",-,-,-,-,-,
"Ionic iodinated contrast media",-,-,-,-,-,
"Radiologic adjuncts",-,-,-,-,-,
"Cardiac stressing agents",-,-,-,-,-,
"Metabolic agents",2.6,1.6,2.2,1.2,0.1,
"Antihyperlipidemic agents",2.8,1.6,2.3,1.2,0.1,
"HMG-CoA reductase inhibitors",2.7,1.6,2.4,1.4,0.1,
"Miscellaneous antihyperlipidemic agents",5.7,4,4.3,1.6,-,
"Fibric acid derivatives",4.3,2.8,3.6,1.1,-,
"Bile acid sequestrants",-,-,-,5.1,-,
"Cholesterol absorption inhibitors",4.5,2.6,3.8,1.5,-,
"Antihyperlipidemic combinations",4.7,2.7,3.4,0.9,-,
"Antidiabetic agents",2.9,1.9,2.2,1.4,0.2,
Sulfonylureas,4,2.4,3.2,1.4,0.2,
Non-sulfonylureas,3.1,2.2,1.9,1.6,0.2,
Insulin,3.5,2.8,3.2,2.2,0.7,
Thiazolidinediones,3.9,3.1,2.6,1.3,0.1,
Meglitinides,-,-,-,3.5,-,
"Antidiabetic combinations",5.9,-,4.5,1.5,-,
"Dipeptidyl peptidase 4 inhibitors",-,-,-,-,-,
"Antigout agents",4.8,2.7,4.4,1.5,0.5,
"Antihyperuricemic agents",4.9,2.9,4.3,1.5,-,
"Glucose elevating agents",-,-,-,-,-,
"Medical gases",-,-,-,4.7,10.3,
"Pharmaceutical aids",-,-,4.4,0.4,-,
